"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1130","actually",686.6S,695.1S,11,"COOPER:","No",1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1131","kiss",686.6S,695.1S,11,"COOPER:","No",1131,7.78,1.64,6.05,3.03,6.52,2.43,2,8.26,1.54,7.32,2.03,6.93,2.28
"1132","women",686.6S,695.1S,11,"COOPER:","No",1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1133","without",686.6S,695.1S,11,"COOPER:","No",1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134","consent",686.6S,695.1S,11,"COOPER:","No",1134,6.42,1.57,3.88,2.2,6.58,2.34,2,NA,NA,NA,NA,NA,NA
"1135","or",686.6S,695.1S,11,"COOPER:","No",1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1136","grope",686.6S,695.1S,11,"COOPER:","No",1136,3.95,1.81,5.76,1.79,4.64,2.65,NA,NA,NA,NA,NA,NA,NA
"1137","women",686.6S,695.1S,11,"COOPER:","No",1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1138","without",686.6S,695.1S,11,"COOPER:","No",1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139","consent",686.6S,695.1S,11,"COOPER:","No",1139,6.42,1.57,3.88,2.2,6.58,2.34,2,NA,NA,NA,NA,NA,NA
"1140","i",694.8S,698.6S,12,"TRUMP:","Yes",1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141","have",694.8S,698.6S,12,"TRUMP:","Yes",1141,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"1142","great",694.8S,698.6S,12,"TRUMP:","Yes",1142,7.5,1.92,4.14,2.69,6.65,1.84,3,NA,NA,NA,NA,NA,NA
"1143","respect",694.8S,698.6S,12,"TRUMP:","Yes",1143,6.79,1.72,4.79,2.62,7.26,1.73,NA,7.64,1.29,5.19,2.39,6.89,2.11
"1144","for",694.8S,698.6S,12,"TRUMP:","Yes",1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145","women",694.8S,698.6S,12,"TRUMP:","Yes",1145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146","nobody",694.8S,698.6S,12,"TRUMP:","Yes",1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147","has",694.8S,698.6S,12,"TRUMP:","Yes",1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148","more",694.8S,698.6S,12,"TRUMP:","Yes",1148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","respect",694.8S,698.6S,12,"TRUMP:","Yes",1149,6.79,1.72,4.79,2.62,7.26,1.73,NA,7.64,1.29,5.19,2.39,6.89,2.11
"1150","for",694.8S,698.6S,12,"TRUMP:","Yes",1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","women",694.8S,698.6S,12,"TRUMP:","Yes",1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","than",694.8S,698.6S,12,"TRUMP:","Yes",1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153","i",694.8S,698.6S,12,"TRUMP:","Yes",1153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154","do",694.8S,698.6S,12,"TRUMP:","Yes",1154,5.41,1.84,3.67,2.15,6.35,2,NA,NA,NA,NA,NA,NA,NA
"1155","so",699.2S,700.8S,13,"COOPER:","No",1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1156","for",699.2S,700.8S,13,"COOPER:","No",1156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157","the",699.2S,700.8S,13,"COOPER:","No",1157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158","record",699.2S,700.8S,13,"COOPER:","No",1158,5.89,1.57,3.3,2.3,5.5,2.31,NA,NA,NA,NA,NA,NA,NA
"1159","you’re",699.2S,700.8S,13,"COOPER:","No",1159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160","saying",699.2S,700.8S,13,"COOPER:","No",1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161","you",699.2S,700.8S,13,"COOPER:","No",1161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162","never",699.2S,700.8S,13,"COOPER:","No",1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163","did",699.2S,700.8S,13,"COOPER:","No",1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164","that",699.2S,700.8S,13,"COOPER:","No",1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165","i’ve",699.6S,708.8S,14,"TRUMP:","Yes",1165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166","said",699.6S,708.8S,14,"TRUMP:","Yes",1166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167","things",699.6S,708.8S,14,"TRUMP:","Yes",1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1168","that",699.6S,708.8S,14,"TRUMP:","Yes",1168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169","frankly",699.6S,708.8S,14,"TRUMP:","Yes",1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170","you",699.6S,708.8S,14,"TRUMP:","Yes",1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1171","hear",699.6S,708.8S,14,"TRUMP:","Yes",1171,6.68,1.49,3.62,2.22,6.71,1.79,NA,NA,NA,NA,NA,NA,NA
"1172","these",699.6S,708.8S,14,"TRUMP:","Yes",1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173","things",699.6S,708.8S,14,"TRUMP:","Yes",1173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174","i",699.6S,708.8S,14,"TRUMP:","Yes",1174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1175","said",699.6S,708.8S,14,"TRUMP:","Yes",1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1176","and",699.6S,708.8S,14,"TRUMP:","Yes",1176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","i",699.6S,708.8S,14,"TRUMP:","Yes",1177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178","was",699.6S,708.8S,14,"TRUMP:","Yes",1178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1179","embarrassed",699.6S,708.8S,14,"TRUMP:","Yes",1179,3.51,1.72,5.38,2.44,3.67,2.66,-2,3.03,1.85,5.87,2.55,2.87,1.99
"1180","by",699.6S,708.8S,14,"TRUMP:","Yes",1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181","it",699.6S,708.8S,14,"TRUMP:","Yes",1181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1182","but",699.6S,708.8S,14,"TRUMP:","Yes",1182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183","i",699.6S,708.8S,14,"TRUMP:","Yes",1183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184","have",699.6S,708.8S,14,"TRUMP:","Yes",1184,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"1185","tremendous",699.6S,708.8S,14,"TRUMP:","Yes",1185,7,1.61,3.54,2.69,4.9,2.25,NA,NA,NA,NA,NA,NA,NA
"1186","respect",699.6S,708.8S,14,"TRUMP:","Yes",1186,6.79,1.72,4.79,2.62,7.26,1.73,NA,7.64,1.29,5.19,2.39,6.89,2.11
"1187","for",699.6S,708.8S,14,"TRUMP:","Yes",1187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1188","women",699.6S,708.8S,14,"TRUMP:","Yes",1188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1189","have",708.7S,709.8S,15,"COOPER:","Yes",1189,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"1190","you",708.7S,709.8S,15,"COOPER:","Yes",1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1191","ever",708.7S,709.8S,15,"COOPER:","Yes",1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1192","done",708.7S,709.8S,15,"COOPER:","Yes",1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1193","those",708.7S,709.8S,15,"COOPER:","Yes",1193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1194","things",708.7S,709.8S,15,"COOPER:","Yes",1194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1195","and",709.2S,738S,16,"TRUMP:","Yes",1195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1196","women",709.2S,738S,16,"TRUMP:","Yes",1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
