"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"879","you",594.9S,617.9S,7,"COOPER:","No",879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"880","bragged",594.9S,617.9S,7,"COOPER:","No",880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"881","that",594.9S,617.9S,7,"COOPER:","No",881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882","you",594.9S,617.9S,7,"COOPER:","No",882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883","have",594.9S,617.9S,7,"COOPER:","No",883,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"884","sexually",594.9S,617.9S,7,"COOPER:","No",884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","assaulted",594.9S,617.9S,7,"COOPER:","No",885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886","women",594.9S,617.9S,7,"COOPER:","No",886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887","do",594.9S,617.9S,7,"COOPER:","No",887,5.41,1.84,3.67,2.15,6.35,2,NA,NA,NA,NA,NA,NA,NA
"888","you",594.9S,617.9S,7,"COOPER:","No",888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","understand",594.9S,617.9S,7,"COOPER:","No",889,6.68,1.84,3.52,2.16,6.71,1.61,NA,7.13,1.89,5,2.08,6.77,2.03
"890","that",594.9S,617.9S,7,"COOPER:","No",890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891","no",618.6S,682S,8,"TRUMP:","No",891,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"892","i",618.6S,682S,8,"TRUMP:","No",892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893","didn’t",618.6S,682S,8,"TRUMP:","No",893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","say",618.6S,682S,8,"TRUMP:","No",894,5.91,1.66,4.43,2.48,6.88,1.83,NA,NA,NA,NA,NA,NA,NA
"895","that",618.6S,682S,8,"TRUMP:","No",895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","at",618.6S,682S,8,"TRUMP:","No",896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","all",618.6S,682S,8,"TRUMP:","No",897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","i",618.6S,682S,8,"TRUMP:","No",898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899","don’t",618.6S,682S,8,"TRUMP:","No",899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900","think",618.6S,682S,8,"TRUMP:","No",900,6.68,1.67,3.75,2.27,6.5,2.01,NA,6.41,1.88,5.34,2.48,6.38,2.19
"901","you",618.6S,682S,8,"TRUMP:","No",901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"902","understood",618.6S,682S,8,"TRUMP:","No",902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903","what",618.6S,682S,8,"TRUMP:","No",903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904","was",618.6S,682S,8,"TRUMP:","No",904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"905","this",618.6S,682S,8,"TRUMP:","No",905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906","was",618.6S,682S,8,"TRUMP:","No",906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907","locker",618.6S,682S,8,"TRUMP:","No",907,4.79,1.17,3.35,2.4,6.35,2.45,NA,5.19,1.31,3.38,2.13,5.36,1.87
"908","room",618.6S,682S,8,"TRUMP:","No",908,5.55,1.53,3.1,1.58,5.71,2.23,NA,5.52,1.12,3.77,1.96,5.52,1.61
"909","talk",618.6S,682S,8,"TRUMP:","No",909,6.64,1.33,3.38,2.27,6.44,1.86,NA,NA,NA,NA,NA,NA,NA
"910","i’m",618.6S,682S,8,"TRUMP:","No",910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911","not",618.6S,682S,8,"TRUMP:","No",911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912","proud",618.6S,682S,8,"TRUMP:","No",912,7,2.03,5.55,2.34,7.09,2.05,2,8.03,1.56,5.56,3.01,6.74,2.73
"913","of",618.6S,682S,8,"TRUMP:","No",913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","it",618.6S,682S,8,"TRUMP:","No",914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915","i",618.6S,682S,8,"TRUMP:","No",915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916","apologize",618.6S,682S,8,"TRUMP:","No",916,4.94,2.13,3.52,2.23,4.22,1.96,-1,NA,NA,NA,NA,NA,NA
"917","to",618.6S,682S,8,"TRUMP:","No",917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918","my",618.6S,682S,8,"TRUMP:","No",918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919","family",618.6S,682S,8,"TRUMP:","No",919,7.25,1.89,4.35,2.7,5.98,2.57,NA,7.65,1.55,4.8,2.71,6,1.87
"920","i",618.6S,682S,8,"TRUMP:","No",920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921","apologize",618.6S,682S,8,"TRUMP:","No",921,4.94,2.13,3.52,2.23,4.22,1.96,-1,NA,NA,NA,NA,NA,NA
"922","to",618.6S,682S,8,"TRUMP:","No",922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923","the",618.6S,682S,8,"TRUMP:","No",923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"924","american",618.6S,682S,8,"TRUMP:","No",924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925","people",618.6S,682S,8,"TRUMP:","No",925,5.7,2.01,3.77,2.34,5.4,2.19,NA,7.33,1.7,5.94,2.09,6.14,2.02
"926","certainly",618.6S,682S,8,"TRUMP:","No",926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927","i’m",618.6S,682S,8,"TRUMP:","No",927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"928","not",618.6S,682S,8,"TRUMP:","No",928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","proud",618.6S,682S,8,"TRUMP:","No",929,7,2.03,5.55,2.34,7.09,2.05,2,8.03,1.56,5.56,3.01,6.74,2.73
"930","of",618.6S,682S,8,"TRUMP:","No",930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931","it",618.6S,682S,8,"TRUMP:","No",931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932","but",618.6S,682S,8,"TRUMP:","No",932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"933","this",618.6S,682S,8,"TRUMP:","No",933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","is",618.6S,682S,8,"TRUMP:","No",934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"935","locker",618.6S,682S,8,"TRUMP:","No",935,4.79,1.17,3.35,2.4,6.35,2.45,NA,5.19,1.31,3.38,2.13,5.36,1.87
"936","room",618.6S,682S,8,"TRUMP:","No",936,5.55,1.53,3.1,1.58,5.71,2.23,NA,5.52,1.12,3.77,1.96,5.52,1.61
"937","talk",618.6S,682S,8,"TRUMP:","No",937,6.64,1.33,3.38,2.27,6.44,1.86,NA,NA,NA,NA,NA,NA,NA
"938","you",618.6S,682S,8,"TRUMP:","No",938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939","know",618.6S,682S,8,"TRUMP:","No",939,6.82,1.44,3.24,2.02,5.78,1.96,NA,6.93,1.72,5.77,1.92,6.9,2.29
"940","when",618.6S,682S,8,"TRUMP:","No",940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941","we",618.6S,682S,8,"TRUMP:","No",941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"942","have",618.6S,682S,8,"TRUMP:","No",942,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"943","a",618.6S,682S,8,"TRUMP:","No",943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"944","world",618.6S,682S,8,"TRUMP:","No",944,6.46,1.57,4.55,2.3,5.12,2.47,NA,6.5,2.03,5.32,2.39,5.26,2.47
"945","where",618.6S,682S,8,"TRUMP:","No",945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","you",618.6S,682S,8,"TRUMP:","No",946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"947","have",618.6S,682S,8,"TRUMP:","No",947,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"948","isis",618.6S,682S,8,"TRUMP:","No",948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949","chopping",618.6S,682S,8,"TRUMP:","No",949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"950","off",618.6S,682S,8,"TRUMP:","No",950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"951","heads",618.6S,682S,8,"TRUMP:","No",951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"952","where",618.6S,682S,8,"TRUMP:","No",952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953","you",618.6S,682S,8,"TRUMP:","No",953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"954","have",618.6S,682S,8,"TRUMP:","No",954,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"955","and",618.6S,682S,8,"TRUMP:","No",955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956","frankly",618.6S,682S,8,"TRUMP:","No",956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"957","drowning",618.6S,682S,8,"TRUMP:","No",957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"958","people",618.6S,682S,8,"TRUMP:","No",958,5.7,2.01,3.77,2.34,5.4,2.19,NA,7.33,1.7,5.94,2.09,6.14,2.02
"959","in",618.6S,682S,8,"TRUMP:","No",959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"960","steel",618.6S,682S,8,"TRUMP:","No",960,4.95,1.56,3.86,2.26,5.68,2.34,NA,NA,NA,NA,NA,NA,NA
"961","cages",618.6S,682S,8,"TRUMP:","No",961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"962","where",618.6S,682S,8,"TRUMP:","No",962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"963","you",618.6S,682S,8,"TRUMP:","No",963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"964","have",618.6S,682S,8,"TRUMP:","No",964,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"965","wars",618.6S,682S,8,"TRUMP:","No",965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966","and",618.6S,682S,8,"TRUMP:","No",966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967","horrible",618.6S,682S,8,"TRUMP:","No",967,2.33,2.31,5.95,2.57,5.16,2.79,-3,2.28,1.98,5.75,2.41,3.04,1.95
"968","horrible",618.6S,682S,8,"TRUMP:","No",968,2.33,2.31,5.95,2.57,5.16,2.79,-3,2.28,1.98,5.75,2.41,3.04,1.95
"969","sights",618.6S,682S,8,"TRUMP:","No",969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"970","all",618.6S,682S,8,"TRUMP:","No",970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"971","over",618.6S,682S,8,"TRUMP:","No",971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"972","where",618.6S,682S,8,"TRUMP:","No",972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"973","you",618.6S,682S,8,"TRUMP:","No",973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"974","have",618.6S,682S,8,"TRUMP:","No",974,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"975","so",618.6S,682S,8,"TRUMP:","No",975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"976","many",618.6S,682S,8,"TRUMP:","No",976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977","bad",618.6S,682S,8,"TRUMP:","No",977,3.24,1.92,4.86,2.69,3.56,2.18,-3,2.56,1.36,5.52,1.87,3.84,1.82
"978","things",618.6S,682S,8,"TRUMP:","No",978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"979","happening",618.6S,682S,8,"TRUMP:","No",979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"980","this",618.6S,682S,8,"TRUMP:","No",980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"981","is",618.6S,682S,8,"TRUMP:","No",981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"982","like",618.6S,682S,8,"TRUMP:","No",982,7.44,1.46,4.4,2.5,6.28,1.45,2,7.52,1.72,6.63,2.2,5.41,2.69
"983","medieval",618.6S,682S,8,"TRUMP:","No",983,5.6,1.7,4.4,2.23,5.29,2.47,NA,NA,NA,NA,NA,NA,NA
"984","times",618.6S,682S,8,"TRUMP:","No",984,5.91,1.44,3.19,1.91,6.12,2.03,NA,NA,NA,NA,NA,NA,NA
"985","we",618.6S,682S,8,"TRUMP:","No",985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"986","haven’t",618.6S,682S,8,"TRUMP:","No",986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"987","seen",618.6S,682S,8,"TRUMP:","No",987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"988","anything",618.6S,682S,8,"TRUMP:","No",988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989","like",618.6S,682S,8,"TRUMP:","No",989,7.44,1.46,4.4,2.5,6.28,1.45,2,7.52,1.72,6.63,2.2,5.41,2.69
"990","this",618.6S,682S,8,"TRUMP:","No",990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"991","the",618.6S,682S,8,"TRUMP:","No",991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"992","carnage",618.6S,682S,8,"TRUMP:","No",992,3.3,2,5.77,2.35,5.15,2.64,NA,NA,NA,NA,NA,NA,NA
"993","all",618.6S,682S,8,"TRUMP:","No",993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"994","over",618.6S,682S,8,"TRUMP:","No",994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"995","the",618.6S,682S,8,"TRUMP:","No",995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"996","world",618.6S,682S,8,"TRUMP:","No",996,6.46,1.57,4.55,2.3,5.12,2.47,NA,6.5,2.03,5.32,2.39,5.26,2.47
"997","and",618.6S,682S,8,"TRUMP:","No",997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"998","they",618.6S,682S,8,"TRUMP:","No",998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"999","look",618.6S,682S,8,"TRUMP:","No",999,5.95,1.68,3.76,2.64,5.88,1.67,NA,NA,NA,NA,NA,NA,NA
"1000","and",618.6S,682S,8,"TRUMP:","No",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1001","they",618.6S,682S,8,"TRUMP:","No",1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1002","see",618.6S,682S,8,"TRUMP:","No",1002,6.27,1.61,3.9,2.28,6,2.29,NA,NA,NA,NA,NA,NA,NA
"1003","can",618.6S,682S,8,"TRUMP:","No",1003,6.41,1.53,3.14,1.93,6.44,2.19,NA,NA,NA,NA,NA,NA,NA
"1004","you",618.6S,682S,8,"TRUMP:","No",1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1005","imagine",618.6S,682S,8,"TRUMP:","No",1005,7.2,1.52,4.46,2.69,6.92,1.83,NA,7.32,1.52,5.98,2.14,7.07,1.99
"1006","the",618.6S,682S,8,"TRUMP:","No",1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1007","people",618.6S,682S,8,"TRUMP:","No",1007,5.7,2.01,3.77,2.34,5.4,2.19,NA,7.33,1.7,5.94,2.09,6.14,2.02
"1008","that",618.6S,682S,8,"TRUMP:","No",1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1009","are",618.6S,682S,8,"TRUMP:","No",1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010","frankly",618.6S,682S,8,"TRUMP:","No",1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1011","doing",618.6S,682S,8,"TRUMP:","No",1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012","so",618.6S,682S,8,"TRUMP:","No",1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1013","well",618.6S,682S,8,"TRUMP:","No",1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014","against",618.6S,682S,8,"TRUMP:","No",1014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1015","us",618.6S,682S,8,"TRUMP:","No",1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1016","with",618.6S,682S,8,"TRUMP:","No",1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1017","isis",618.6S,682S,8,"TRUMP:","No",1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1018","and",618.6S,682S,8,"TRUMP:","No",1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1019","they",618.6S,682S,8,"TRUMP:","No",1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1020","look",618.6S,682S,8,"TRUMP:","No",1020,5.95,1.68,3.76,2.64,5.88,1.67,NA,NA,NA,NA,NA,NA,NA
"1021","at",618.6S,682S,8,"TRUMP:","No",1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1022","our",618.6S,682S,8,"TRUMP:","No",1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023","country",618.6S,682S,8,"TRUMP:","No",1023,6.14,1.67,3.71,2.47,6.35,2.03,NA,5.93,1.91,5.26,1.93,5.96,1.93
"1024","and",618.6S,682S,8,"TRUMP:","No",1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1025","they",618.6S,682S,8,"TRUMP:","No",1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1026","see",618.6S,682S,8,"TRUMP:","No",1026,6.27,1.61,3.9,2.28,6,2.29,NA,NA,NA,NA,NA,NA,NA
"1027","what’s",618.6S,682S,8,"TRUMP:","No",1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1028","going",618.6S,682S,8,"TRUMP:","No",1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1029","on",618.6S,682S,8,"TRUMP:","No",1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1030","yes",618.6S,682S,8,"TRUMP:","No",1030,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"1031","i’m",618.6S,682S,8,"TRUMP:","No",1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1032","very",618.6S,682S,8,"TRUMP:","No",1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033","embarrassed",618.6S,682S,8,"TRUMP:","No",1033,3.51,1.72,5.38,2.44,3.67,2.66,-2,3.03,1.85,5.87,2.55,2.87,1.99
"1034","by",618.6S,682S,8,"TRUMP:","No",1034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1035","it",618.6S,682S,8,"TRUMP:","No",1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036","i",618.6S,682S,8,"TRUMP:","No",1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1037","hate",618.6S,682S,8,"TRUMP:","No",1037,1.96,1.33,6.26,2.31,4.47,2.54,-3,2.12,1.72,6.95,2.56,5.05,2.95
"1038","it",618.6S,682S,8,"TRUMP:","No",1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1039","but",618.6S,682S,8,"TRUMP:","No",1039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040","it’s",618.6S,682S,8,"TRUMP:","No",1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041","locker",618.6S,682S,8,"TRUMP:","No",1041,4.79,1.17,3.35,2.4,6.35,2.45,NA,5.19,1.31,3.38,2.13,5.36,1.87
"1042","room",618.6S,682S,8,"TRUMP:","No",1042,5.55,1.53,3.1,1.58,5.71,2.23,NA,5.52,1.12,3.77,1.96,5.52,1.61
"1043","talk",618.6S,682S,8,"TRUMP:","No",1043,6.64,1.33,3.38,2.27,6.44,1.86,NA,NA,NA,NA,NA,NA,NA
"1044","and",618.6S,682S,8,"TRUMP:","No",1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","it’s",618.6S,682S,8,"TRUMP:","No",1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1046","one",618.6S,682S,8,"TRUMP:","No",1046,6.09,2.07,2.67,2.01,5.56,2.45,NA,NA,NA,NA,NA,NA,NA
"1047","of",618.6S,682S,8,"TRUMP:","No",1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048","those",618.6S,682S,8,"TRUMP:","No",1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049","things",618.6S,682S,8,"TRUMP:","No",1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1050","i",618.6S,682S,8,"TRUMP:","No",1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051","will",618.6S,682S,8,"TRUMP:","No",1051,5.32,1.78,2.9,2.07,6.61,2.33,NA,NA,NA,NA,NA,NA,NA
"1052","knock",618.6S,682S,8,"TRUMP:","No",1052,5.44,1.54,3.95,2.24,5.11,1.78,NA,NA,NA,NA,NA,NA,NA
"1053","the",618.6S,682S,8,"TRUMP:","No",1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1054","hell",618.6S,682S,8,"TRUMP:","No",1054,2.55,2.2,6.26,2.55,3.47,2.72,-4,2.24,1.62,5.38,2.62,3.24,2.36
"1055","out",618.6S,682S,8,"TRUMP:","No",1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1056","of",618.6S,682S,8,"TRUMP:","No",1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057","isis",618.6S,682S,8,"TRUMP:","No",1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058","we’re",618.6S,682S,8,"TRUMP:","No",1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1059","going",618.6S,682S,8,"TRUMP:","No",1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060","to",618.6S,682S,8,"TRUMP:","No",1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1061","defeat",618.6S,682S,8,"TRUMP:","No",1061,3.74,1.79,4.14,2.49,3.87,2.36,NA,2.97,2.34,5.63,2.43,3.6,2.34
"1062","isis",618.6S,682S,8,"TRUMP:","No",1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1063","isis",618.6S,682S,8,"TRUMP:","No",1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1064","happened",618.6S,682S,8,"TRUMP:","No",1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1065","a",618.6S,682S,8,"TRUMP:","No",1065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1066","number",618.6S,682S,8,"TRUMP:","No",1066,5.59,1.74,3.5,2.01,6.13,2,NA,5.55,1.15,4.34,2.22,5.24,2.01
"1067","of",618.6S,682S,8,"TRUMP:","No",1067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068","years",618.6S,682S,8,"TRUMP:","No",1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069","ago",618.6S,682S,8,"TRUMP:","No",1069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070","in",618.6S,682S,8,"TRUMP:","No",1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1071","a",618.6S,682S,8,"TRUMP:","No",1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1072","vacuum",618.6S,682S,8,"TRUMP:","No",1072,5.38,1.91,4.63,1.95,6.52,2.06,NA,NA,NA,NA,NA,NA,NA
"1073","that",618.6S,682S,8,"TRUMP:","No",1073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074","was",618.6S,682S,8,"TRUMP:","No",1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1075","left",618.6S,682S,8,"TRUMP:","No",1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1076","because",618.6S,682S,8,"TRUMP:","No",1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
