"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Debate","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"53","the",104S,267.1S,1,"Lehrer:","No",1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","next",104S,267.1S,1,"Lehrer:","No",1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","three",104S,267.1S,1,"Lehrer:","No",1,55,5.43,1.08,3.38,2.09,5.45,2.06,NA,NA,NA,NA,NA,NA,NA
"56","two",104S,267.1S,1,"Lehrer:","No",1,56,6.3,1.63,3.33,2.57,5.05,2.15,NA,NA,NA,NA,NA,NA,NA
"57","presidential",104S,267.1S,1,"Lehrer:","No",1,57,4.95,1.35,4.06,2.24,5.18,2.81,NA,NA,NA,NA,NA,NA,NA
"58","one",104S,267.1S,1,"Lehrer:","No",1,58,6.09,2.07,2.67,2.01,5.56,2.45,NA,NA,NA,NA,NA,NA,NA
"59","vice",104S,267.1S,1,"Lehrer:","No",1,59,3.81,1.78,3.96,2.67,4.78,3.06,NA,4.43,2.25,5.3,2.1,5.23,2.18
"60","presidential",104S,267.1S,1,"Lehrer:","No",1,60,4.95,1.35,4.06,2.24,5.18,2.81,NA,NA,NA,NA,NA,NA,NA
"61","are",104S,267.1S,1,"Lehrer:","No",1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","sponsored",104S,267.1S,1,"Lehrer:","No",1,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","by",104S,267.1S,1,"Lehrer:","No",1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","the",104S,267.1S,1,"Lehrer:","No",1,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","commission",104S,267.1S,1,"Lehrer:","No",1,65,5.81,2.06,4.59,2.5,5.38,2.14,NA,NA,NA,NA,NA,NA,NA
"66","on",104S,267.1S,1,"Lehrer:","No",1,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","presidential",104S,267.1S,1,"Lehrer:","No",1,67,4.95,1.35,4.06,2.24,5.18,2.81,NA,NA,NA,NA,NA,NA,NA
"68","debates",104S,267.1S,1,"Lehrer:","No",1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","tonight's",104S,267.1S,1,"Lehrer:","No",1,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","90",104S,267.1S,1,"Lehrer:","No",1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","minutes",104S,267.1S,1,"Lehrer:","No",1,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","will",104S,267.1S,1,"Lehrer:","No",1,72,5.32,1.78,2.9,2.07,6.61,2.33,NA,NA,NA,NA,NA,NA,NA
"73","be",104S,267.1S,1,"Lehrer:","No",1,73,6.18,1.44,3.43,2.31,5.5,2.85,NA,NA,NA,NA,NA,NA,NA
"74","about",104S,267.1S,1,"Lehrer:","No",1,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","domestic",104S,267.1S,1,"Lehrer:","No",1,75,5.05,2.04,2.8,2.26,6.12,2.16,NA,NA,NA,NA,NA,NA,NA
"76","issues",104S,267.1S,1,"Lehrer:","No",1,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","and",104S,267.1S,1,"Lehrer:","No",1,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","will",104S,267.1S,1,"Lehrer:","No",1,78,5.32,1.78,2.9,2.07,6.61,2.33,NA,NA,NA,NA,NA,NA,NA
"79","follow",104S,267.1S,1,"Lehrer:","No",1,79,4.82,1.05,3.76,2.34,4.81,2.43,NA,NA,NA,NA,NA,NA,NA
"80","a",104S,267.1S,1,"Lehrer:","No",1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","format",104S,267.1S,1,"Lehrer:","No",1,81,5.19,1.54,2.73,2.07,4.81,2.34,NA,NA,NA,NA,NA,NA,NA
"82","designed",104S,267.1S,1,"Lehrer:","No",1,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","by",104S,267.1S,1,"Lehrer:","No",1,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","the",104S,267.1S,1,"Lehrer:","No",1,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","commission",104S,267.1S,1,"Lehrer:","No",1,85,5.81,2.06,4.59,2.5,5.38,2.14,NA,NA,NA,NA,NA,NA,NA
"86","there",104S,267.1S,1,"Lehrer:","No",1,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","will",104S,267.1S,1,"Lehrer:","No",1,87,5.32,1.78,2.9,2.07,6.61,2.33,NA,NA,NA,NA,NA,NA,NA
"88","be",104S,267.1S,1,"Lehrer:","No",1,88,6.18,1.44,3.43,2.31,5.5,2.85,NA,NA,NA,NA,NA,NA,NA
"89","six",104S,267.1S,1,"Lehrer:","No",1,89,4.85,1.6,3.18,2.13,5.58,2.19,NA,NA,NA,NA,NA,NA,NA
"90","roughly",104S,267.1S,1,"Lehrer:","No",1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","15",104S,267.1S,1,"Lehrer:","No",1,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","minute",104S,267.1S,1,"Lehrer:","No",1,92,5.5,1.47,3.76,2.64,4.17,2.28,NA,NA,NA,NA,NA,NA,NA
"93","segments",104S,267.1S,1,"Lehrer:","No",1,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","with",104S,267.1S,1,"Lehrer:","No",1,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","two",104S,267.1S,1,"Lehrer:","No",1,95,6.3,1.63,3.33,2.57,5.05,2.15,NA,NA,NA,NA,NA,NA,NA
"96","minute",104S,267.1S,1,"Lehrer:","No",1,96,5.5,1.47,3.76,2.64,4.17,2.28,NA,NA,NA,NA,NA,NA,NA
"97","answers",104S,267.1S,1,"Lehrer:","No",1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","for",104S,267.1S,1,"Lehrer:","No",1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","the",104S,267.1S,1,"Lehrer:","No",1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","first",104S,267.1S,1,"Lehrer:","No",1,100,7.33,1.28,4.9,2.83,6.38,2.32,NA,6.89,2.22,6.14,2.48,7.21,1.93
"101","question",104S,267.1S,1,"Lehrer:","No",1,101,6.36,1.62,3.67,2.24,5.88,2.31,NA,NA,NA,NA,NA,NA,NA
"102","then",104S,267.1S,1,"Lehrer:","No",1,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","open",104S,267.1S,1,"Lehrer:","No",1,103,6.14,1.58,4.43,2.38,6.17,1.79,NA,NA,NA,NA,NA,NA,NA
"104","discussion",104S,267.1S,1,"Lehrer:","No",1,104,6.18,1.33,5,2.52,5.95,1.57,NA,NA,NA,NA,NA,NA,NA
"105","for",104S,267.1S,1,"Lehrer:","No",1,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","the",104S,267.1S,1,"Lehrer:","No",1,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","remainder",104S,267.1S,1,"Lehrer:","No",1,107,5.63,1.12,4.18,2.48,5.27,2.37,NA,NA,NA,NA,NA,NA,NA
"108","of",104S,267.1S,1,"Lehrer:","No",1,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","each",104S,267.1S,1,"Lehrer:","No",1,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","segment",104S,267.1S,1,"Lehrer:","No",1,110,4.63,1.42,3.61,2.12,5.29,1.83,NA,NA,NA,NA,NA,NA,NA
"111","thousands",104S,267.1S,1,"Lehrer:","No",1,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","of",104S,267.1S,1,"Lehrer:","No",1,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","people",104S,267.1S,1,"Lehrer:","No",1,113,5.7,2.01,3.77,2.34,5.4,2.19,NA,7.33,1.7,5.94,2.09,6.14,2.02
"114","offered",104S,267.1S,1,"Lehrer:","No",1,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","suggestions",104S,267.1S,1,"Lehrer:","No",1,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","on",104S,267.1S,1,"Lehrer:","No",1,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","segment",104S,267.1S,1,"Lehrer:","No",1,117,4.63,1.42,3.61,2.12,5.29,1.83,NA,NA,NA,NA,NA,NA,NA
"118","subjects",104S,267.1S,1,"Lehrer:","No",1,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","of",104S,267.1S,1,"Lehrer:","No",1,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","questions",104S,267.1S,1,"Lehrer:","No",1,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","via",104S,267.1S,1,"Lehrer:","No",1,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","the",104S,267.1S,1,"Lehrer:","No",1,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","internet",104S,267.1S,1,"Lehrer:","No",1,123,6.68,1.53,5.44,2.73,6.24,2.49,NA,NA,NA,NA,NA,NA,NA
"124","and",104S,267.1S,1,"Lehrer:","No",1,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","other",104S,267.1S,1,"Lehrer:","No",1,125,5.41,1.59,3.48,2.27,6,2.09,NA,NA,NA,NA,NA,NA,NA
"126","means",104S,267.1S,1,"Lehrer:","No",1,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","but",104S,267.1S,1,"Lehrer:","No",1,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","i",104S,267.1S,1,"Lehrer:","No",1,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
